Date,Open,High,Low,Close
11-Nov-10,20930.45,20937.38,20544.22,20589.09
12-Nov-10,20529.74,20593.91,20108.4,20156.89
15-Nov-10,20167.62,20335.51,20046.6,20309.69
16-Nov-10,20371.73,20380.1,19832.22,19865.14
18-Nov-10,19997.83,20056.44,19615.51,19930.64
19-Nov-10,19982.75,19982.75,19504.87,19585.44
22-Nov-10,19713.84,19989.02,19641.42,19957.59
23-Nov-10,19841.42,19841.42,19342.69,19691.84
24-Nov-10,19735.28,19835.57,19375.92,19459.85
25-Nov-10,19560.25,19628.27,19257.37,19318.16
26-Nov-10,19391.96,19417.61,18954.82,19136.61
29-Nov-10,19230.34,19450.09,19167.19,19405.1
30-Nov-10,19373.23,19610.46,19218.02,19521.25
01-Dec-10,19529.99,19887.26,19525.15,19850
02-Dec-10,20038.66,20084.25,19917.77,19992.7
03-Dec-10,20007.89,20067.81,19877.12,19966.93
06-Dec-10,20038.25,20217.86,19944.71,19981.31
07-Dec-10,19982.9,20008.36,19824.44,19934.64
08-Dec-10,19874.3,19875.51,19611.35,19696.48
09-Dec-10,19746.15,19771.09,19160.87,19242.36
10-Dec-10,19201.89,19537.4,19074.57,19508.89
13-Dec-10,19600.28,19710.57,19321.41,19691.78
14-Dec-10,19746.75,19836.82,19621.41,19799.19
15-Dec-10,19791.22,19817.61,19571.43,19647.77
16-Dec-10,19698.58,19897.22,19554.35,19864.85
20-Dec-10,19770.02,20006.16,19711.12,19888.88
21-Dec-10,19925.76,20090.84,19925.76,20060.32
22-Dec-10,20118.82,20151.25,19931.31,20015.8
23-Dec-10,20038.83,20076.08,19939.3,19982.88
24-Dec-10,19911.46,20086.42,19880.36,20073.66
27-Dec-10,20062.6,20190.13,20010.33,20028.93
28-Dec-10,20056.47,20090.41,19981.76,20025.42
29-Dec-10,20060.88,20274.2,20054.64,20256.03
30-Dec-10,20274.12,20410.91,20274.12,20389.07
31-Dec-10,20412.76,20552.03,20412.76,20509.09
03-Jan-11,20621.61,20664.8,20531,20561.05
04-Jan-11,20617.38,20651.21,20449.01,20498.72
05-Jan-11,20509.95,20509.95,20243.95,20301.1
06-Jan-11,20395.5,20425.85,20107.17,20184.74
07-Jan-11,20163.85,20210.62,19629.22,19691.81
10-Jan-11,19714.42,19720.43,19158.43,19224.12
11-Jan-11,19279.77,19431.56,19003.6,19196.34
12-Jan-11,19353.34,19574.63,19048.56,19534.1
13-Jan-11,19492.3,19522.38,19136.27,19182.82
14-Jan-11,19198.04,19447.82,18811.96,18860.44
17-Jan-11,18911.43,19018.94,18779.38,18882.25
18-Jan-11,18983.2,19120.62,18933.47,19092.05
19-Jan-11,19153.31,19167.06,18898.56,18978.32
20-Jan-11,18892.43,19100.26,18794.73,19046.54
21-Jan-11,19007.08,19065.34,18932.4,19007.53
